# animals — ființe numite în Biblie (Cornilescu / NTR); RU — sinodală
leu|лев
urs|медведь
lup|волк
măgar|осёл
asină|ослица
măgăriță|ослица
cămilă|верблюд
bou|вол
vițel|телёнок
taur|бык
berbec|баран
oaie|овца
miel|агнец
ied|козлёнок
capră|коза
țap|козёл
porc|свинья
câine|пёс
viespe|оса
porumbel|голубь
turturică|горлица
corb|ворон
vultur|орёл
bufniță|сова
cocoș|петух
găină|курица
puică|цыплёнок
barză|аист
cocor|журавль
dropie|дрофа
pelican|пеликан
pescăruș|чайка
erete|цапля
potârniche|куропатка
prepeliță|перепел
șoim|сокол
acvilă|орёл
ciocănitoare|дятел
șarpe|змей
năpârcă|уж
șopârlă|ящерица
broască|лягушка
broaște|лягушки
pește|рыба
balaur|дракон
leviatan|левиафан
behemot|бегемот
lăcustă|саранча
greier|кузнечик
furnică|муравей
molie|моль
vierme|червь
râmă|червь
melc|улитка
iepure|заяц
căprioară|серна
cerb|олень
mistreț|кабан
cal|конь
catâr|мул
onager|онагр
leopard|леопард
hienă|гиена
șacal|шакал
vițică|телка
vacă|корова
oiță|овечка
leoaică|львица
ursoaică|медведица
viperă|гадюка
inorog|единорог
păun|павлин
struț|страус
măgăruș|ослёнок
puicuțe|цыплята
vrabie|воробей
rândunică|ласточка
gâscă|гусь
rață|утка
grui|журавль
pelican|пеликан
flamingo|фламинго
papagal|попугай
cuc|кукушка
privighetoare|соловей
cucuvea|сова
corb|ворон
vidră|выдра
castor|бобёр
arici|ёж
cârtiță|крот
liliac|летучая мышь
scorpion|скорпион
păianjen|паук
nalbă|клещ
căpușă|клещ
albină|пчела
bondар|шмель
cârmaci|кормщик
bursuc|барсук
dihor|хорёк
nevăstuică|ласка
jder|куница
samur|соболь
cerboaică|самка оленя
antilопă|антилопа
gazelă|газель
zimbru|зубр
taur|бык
asină|ослица
catâr|мул
armăsar|жеребец
iapă|кобыла
mânz|жеребёнок
pui|птенец
puiandru|цыплёнок
ciută|лань
