# food — alimente și băuturi din Biblie (Cornilescu / NTR); RU — sinodală
pâine|хлеб
azimă|опресноки
turte|лепёшки
făină|мука
aluat|тесто
grâu|пшеница
orz|ячмень
mei|пшено
ovăz|овёс
secară|рожь
linte|чечевица
mazăre|горох
fasole|фасоль
năut|нут
smochin|инжир
smochine|инжиры
struguri|виноград
must|сусло
vin|вино
otet|уксус
rodie|гранат
rodii|гранаты
măslin|олива
măsline|оливки
untdelemn|елей
unt|масло
miere|мёд
lapte|молоко
brânză|сыр
ou|яйцо
ouă|яйца
sare|соль
carne|мясо
pește|рыба
curmale|финики
curmal|финик
nuci|орехи
migdale|миндаль
stafide|изюм
mană|мanna
apă|вода
ceapă|лук
usturoi|чеснок
praz|лук-порей
pepene|арбуз
castravete|огурец
verdețuri|зелень
legume|овощи
fructe|плоды
roade|плоды
tărâțe|отруби
roșcove|рожки
smântână|сметана
brânză|сыр
lapte|молоко
urdă|творог
vânat|дичь
drojdie|дрожжи
oțet|уксус
zeamă|бульон
tocană|похлёбка
fiertură|варево
friptură|жаркое
carne|мясо
pește|рыба
pasăre|птица
miel|агнец
berbec|баран
vițel|телёнок
capră|коза
porc|свинья
raci|раки
albine|пчёлы
fagure|сота
curmal|финик
rodie|гранат
migdale|миндаль
nuci|орехи
stafide|изюм
smochine|инжир
curmale|финики
mere|яблоки
pere|груши
gutui|айва
piersici|персики
caise|абрикосы
prune|сливы
cireșe|вишни
pepene|арбуз
castravete|огурец
praz|порей
ceapă|лук
usturoi|чеснок
linte|чечевица
fasole|фасоль
mazăre|горох
orz|ячмень
grâu|пшеница
secară|рожь
mei|пшено
năut|нут
sare|соль
miere|мёд
untdelemn|елей
vin|вино
apă|вода
lapte|молоко
