# life
rugăciune|молитва
post|пост
credință|вера
nădejde|надежда
dragoste|любовь
har|благодать
milă|милость
adevăr|истина
pace|мир
sfințenie|святость
ascultare|послушание
închinare|поклонение
laudă|хвала
mulțumire|благодарение
legământ|завет
jertfă|жертва
iertare|прощение
pocăință|покаяние
mântuire|спасение
răscumpărare|искупление
ispășire|умилостивление
îndreptățire|оправдание
sfințire|освящение
înviere|воскресение
judecată|суд
slujire|служение
proorocie|пророчество
înțelepciune|мудрость
discernământ|различение
adevăr de credință|истина веры
frică de Dumnezeu|страх Божий
Duhul Sfânt|Святой Дух
Cuvântul lui Dumnezeu|Слово Божье
Cina Domnului|Вечеря Господня
botez cu apă|крещение водой
naștere din nou|рождение свыше
fapte bune|добрые дела
porunca iubirii|заповедь любви
fiu risipitor|блудный сын
bun samaritean|добрый самарянин
pâinea vieții|хлеб жизни
apa vie|живая вода
roada Duhului|плод Духа
armura lui Dumnezeu|всеоружие Божье
calea îngustă|узкий путь
poarta strâmtă|тесные врата
împărăția cerurilor|царство небесное
venirea Domnului|пришествие Господа
viață veșnică|вечная жизнь
evanghelie|благовестие
Scriptura|Писание
Legea|закон
prooroci|пророки
apostoli|апостолы
ucenici|ученики
preot|священник
levit|левит
arhiereu|первосвященник
păstor|пастырь
turmă|стадо
templu|храм
cort|скиния
chivot|ковчег
altar|жертвенник
tămâie|ладан
Sabat|суббота
răscumpărător|искупитель
mijlocitor|ходатай
răbdare|терпение
îndurare|долготерпение
milostenie|милостыня
smerenie|смирение
osârdie|усердие
râvnă|ревность
evlavie|благочестие
înălțare|вознесение
pogorâre|нисхождение
descoperire|откровение
taină|тайна
binecuvântare|благословение
blestem|проклятие
făgăduință|обетование
jurământ|клятва
ascultare de glas|послушание гласу
umblare în lumină|хождение во свете
unire cu Hristos|единение со Христом
umblare cu Dumnezeu|хождение с Богом
roadă de dreptate|плод праведности
sâmbure de muștar|зерно горчичное
sare de pământ|соль земная
învierea morților|воскресение мёртвых
ziua Domnului|день Господень
trup duhovnicesc|духовное тело
suflet viu|живая душа
sânge de jertfă|кровь жертвы
împărtășanie de sânge|причастие крови
Cuvânt de viață|слово жизни
Duh de putere|Дух силы
