# nature
leu|лев
oaie|овца
berbec|баран
capră|коза
ied|козлёнок
vițel|телёнок
bou|вол
măgar|осёл
cal|конь
cămilă|верблюд
porumbel|голубь
corb|ворон
vultur|орёл
vrabie|воробей
rândunică|ласточка
cocoș|петух
șarpe|змей
pește|рыба
balenă|кит
broască|лягушка
furnică|муравей
lăcustă|саранча
musca|муха
molie|моль
gândac|жук
vierme|червь
grâu|пшеница
orz|ячмень
secară|рожь
linte|чечевица
năut|нут
fasole|фасоль
mazăre|горох
smochin|инжир
măslin|олива
viță|лоза
rodie|гранат
cedru|кедр
isop|иссоп
mustar|горчица
crin|лилия
trandafir|роза
busuioc|базилик
stea|звезда
soare|солнце
lună|луна
nor|облако
fulger|молния
tunet|гром
foc|огонь
flacără|пламя
ploaie|дождь
grindină|град
zăpadă|снег
vânt|ветер
furtună|буря
mare|море
râu|река
izvor|источник
fântână|колодец
munte|гора
vale|долина
pustie|пустыня
stâncă|скала
nisip|песок
porc|свинья
câine|пёс
urs|медведь
lup|волк
vulpe|лиса
cerb|олень
iepure|заяц
gâscă|гусь
rață|утка
curcan|индюк
găină|курица
șoarece|мышь
țestoasă|черепаха
șopârlă|ящерица
paianjen|паук
scorpion|скорпион
melc|улитка
palmier|пальма
strugure|виноград
must|виноградный сок
stejar|дуб
brad|ель
salcâm|акация
platan|платан
papirus|папирус
trestie|тростник
țintirim|полынь
pelin|полынь
prăpastie|пропасть
abis|бездна
val|волна
spumă|пена
nămol|тина
țărm|берег
aur|золото
argint|серебро
aramă|медь
fier|железо
piatră|камень
cristal|кристалл
perle|жемчуг
jar|жар
cenușă|пепел
fum|дым
ger|мороз
ceață|туман
adânc|глубина
porumb|кукуруза
dafin|лавр
sicomor|сикомора
terebint|теревинф
salcie|ива
papirus|папирус
trestie|тростник
pin|сосна
laur|лавр
rozmarin|розмарин
nard|нард
crin|лилия
bujor|пион
acacia|акация
aloe|алоэ
chiper|кипарис
platan|платан
nucă|орех
piersică|персик
cireș|вишня
par|груша
gutui|айва
curmale|финик
rodie|гранат
castravete|огурец
pepene|арбуз
ceapă|лук
usturoi|чеснок
promoroacă|иней
rouă|роса
ceață|туман
negură|мгла
zăpadă|снег
grindină|град
potop|потоп
curcubeu|радуга
pârâu|поток
lac|озеро
peșteră|пещера
mormânt|гробница
prăpastie|пропасть
câmpie|равнина
pajiște|пастбище
livadă|сад
ogradă|двор
vie|виноградник
praf|прах
lut|глина
aur|золото
argint|серебро
aramă|медь
fier|железо
piatră|камень
nisip|песок
sare|соль
