# objects — unelte, vase, arme din Biblie (Cornilescu / NTR); RU — sinodală
arc|лук
săgeată|стрела
prăștie|праща
suliță|копьё
sabie|меч
secure|топор
pumnal|кинжал
scut|щит
coif|шлем
platoșă|кольчуга
bici|кнут
funie|верёвка
frânghie|верёвка
lanț|цепь
cătușe|кандалы
jug|ярмо
ham|хомут
frâu|поводья
zăbală|удила
căpăstru|уздечка
șa|седло
car|повозка
care|колесница
roată|колесо
topor|топор
tarnăcop|лопата
plug|плуг
greblă|грабли
furcă|вилы
coasă|коса
fierăstrău|пила
daltă|долото
ranga|лом
oală|горшок
cratiță|кастрюля
tigaie|сковорода
ulcior|кувшин
amforă|амфора
potir|чаша
pahar|кубок
sită|сито
coș|корзина
sac|мешок
traistă|сумка
cufăr|сундук
lădiță|ящик
lingură|ложка
cuțit|нож
farfurie|тарелка
clește|щипцы
grătar|решётка
vatra|очаг
foc|огонь
cărbune|уголь
tămâie|ладан
cădelniță|кадило
altar|жертвенник
chivot|ковчег
menorah|менора
sfesnic|светильник
lampă|лампа
candela|свеча
luminător|светильник
perdea|завеса
poartă|ворота
ușă|дверь
zăvor|засов
cheie|ключ
lacăt|замок
perete|стена
stâlp|столб
grindă|балка
acoperiș|крыша
țiglă|черепица
piatră|камень
moară|мельница
teasc|пресс
covor|ковёр
pernă|подушка
așternut|постель
pătură|одеяло
veșmânt|одежда
centură|пояс
brâu|пояс
mitră|митра
turban|тюрбан
coroană|корона
sceptru|скипетр
tron|трон
scaun|стул
masă|стол
clopot|колокол
clopoțel|колокольчик
trompetă|труба
șofar|шофар
țambur|тимпан
harpă|арфа
liră|лира
cithară|кифара
flaut|флейта
tobă|барабан
balanță|весы
cumpănă|весы
talant|талант
siclu|сикль
daric|дарик
inel|кольцо
brățară|браслет
colier|ожерелье
cercel|серьга
pecetea|печать
inscripție|надпись
carte|книга
toiag|посох
încălțări|обувь
sandale|сандалии
undiță|удочка
mreajă|сеть
corabie|корабль
plută|плот
vâslă|весло
ancoră|якорь
punte|мост
scară|лестница
turn|башня
zid|стена
cetate|крепость
fântână|колодец
cisternă|цистерна
lighean|таз
căldare|ведро
ciubăr|корыто
fereastră|окно
obloane|ставни
efod|ефод
pectoral|нагрудник
cruce|крест
mantie|мантия
burete|губка
năframă|плат
giulgiu|плащаница
pânză|полотно
cort|шатёр
manta|плащ
nădragi|штаны
sandală|сандалия
papuc|башмак
cizme|сапоги
amuletă|амулет
idol|идол
sipet|ковчег
ulcică|кувшинчик
amforă|амфора
coș|корзина
canistră|кувшин
vatră|очаг
jăratic|жар
scrum|пепел
cenușă|зола
mirodenie|пряность
smirnă|мирра
tămâie|ладан
nard|нард
aloe|алоэ
balsam|бальзам
mir|миро
untdelemn|елей
pâslă|войлок
rogojină|рогожа
sac|мешок
burduf|мех
blană|мех
lână|шерсть
mătase|шёлк
in|лён
purpură|пурпур
stacojiu|багрянец
vopsea|краска
cerneală|чернила
pergament|пергамент
papirus|папирус
sigiliu|печать
ștampilă|штамп
ciocan|молоток
nicovală|наковальня
foale|кузнечные меха
clește|щипцы
cazan|котёл
cuptor|печь
pivniță|погреб
hambar|амбар
jitniță|житница
arie|гумно
snop|сноп
seceră|серп
coasă|коса
jug|ярмо
plug|плуг
sapă|мотыга
hârlețe|лопата
mreajă|сеть
nasse|верша
năvod|невод
undiță|удочка
barcă|лодка
vâslă|весло
pânză|парус
catarg|мачта
lest|балласт
lanternă|фонарь
torță|факел
lampă|лампа
lumânare|свеча
fitil|фитиль
coif|шлем
zale|кольчуга
pavăză|щит
tolbă|колчан
praștie|праща
catapultă|катапульта
berbec|таран
scară|лестница
grinzi|бревна
frânghie|верёвка
cheotoare|петля
cârlig|крюк
