# places
Ierusalim|Иерусалим
Betleem|Вифлеем
Nazaret|Назарет
Galileea|Галилея
Samaria|Самария
Iudeea|Иудея
Iordan|Иордан
Sinai|Синай
Horeb|Хорив
Egipt|Египет
Gosen|Гесем
Madian|Мадиам
Moab|Моав
Edom|Едом
Amon|Аммон
Babilon|Вавилон
Ninive|Ниневия
Asiria|Ассирия
Persia|Персия
Roma|Рим
Damasc|Дамаск
Antiohia|Антиохия
Efes|Эфес
Corint|Коринф
Filipi|Филиппы
Tesalonic|Фессалоника
Colose|Колоссы
Laodiceea|Лаодикия
Patmos|Патмос
Capernaum|Капернаум
Betania|Вифания
Betfage|Виффагия
Emaus|Эммаус
Ghetsimani|Гефсимания
Golgota|Голгофа
Sion|Сион
Moria|Мориа
Carmel|Кармил
Tabor|Фавор
Hermon|Ермон
Ararat|Арарат
Canaan|Ханаан
Gherico|Иерихон
Sihem|Сихем
Betel|Вефиль
Beer-Șeba|Вирсавия
Hebron|Хеврон
Gaza|Газа
Așdod|Азот
Așkelon|Аскалон
Tir|Тир
Sidon|Сидон
Lida|Лидда
Iope|Иоппия
Troa|Троада
Tars|Тарс
Creta|Крит
Malta|Мальта
Euprat|Евфрат
Mare Roșie|Красное море
Mare Moartă|Мёртвое море
Muntele Sion|гора Сион
Valea Chedron|долина Кедрон
Ai|Аи
Gabaon|Гаваон
Debir|Давир
Megido|Мегиддо
Elim|Елим
Marah|Мара
Refidim|Рефидим
Paran|Фаран
Cades|Кадес
Zin|Син
Sela|Села
Sodoma|Содом
Gomora|Гоморра
Zoar|Цоар
Engedi|Эн-Геди
Adullam|Одоллам
Dothan|Дофан
Sucot|Сокхот
Peniel|Фенуил
Iaboc|Иавок
Arnon|Арнон
Basan|Васан
Liban|Ливан
Galaad|Галаад
Iabes|Иавис
Mahanaim|Маханаим
Bet-Șan|Бет-Сан
Siclag|Сиклег
Ceila|Кеила
Nobe|Нов
Anatot|Анатот
Acheldamach|Акелдама
Antipatris|Антипатрида
Apolonia|Аполлония
Chipru|Кипр
Milet|Милет
Smirna|Смирна
Sardes|Сардис
Tiatira|Фиатира
Pergam|Пергам
Iconiu|Иконий
Listra|Листра
Derbe|Дервий
Capadocia|Каппадокия
Galatia|Галатия
Filadelfia|Филадельфия
Eghion|Эгей
Rodos|Родос
Patara|Патара
Mira|Мира
Chios|Хиос
Samotracia|Самофракия
Neapolis|Неаполь
Amfipoli|Амфиполь
Bereea|Берия
Ahaia|Ахайя
Pisidia|Писидия
Licaonia|Ликаония
Ofel|Офел
Mifkad|Мифкад
En-Rogel|Эн-Рогель
En-Șemeș|Эн-Шемеш
Rama|Рама
