# roles — funcții și titluri din Biblie (Cornilescu / NTR); RU — sinodală
prooroc|пророк
prooroc mincinos|лжепророк
mare prooroc|великий пророк
preot|священник
mare preot|первосвященник
preot de Baal|жрец Ваала
preot de Moloh|жрец Молоха
levit|левит
judecător|судья
împărat|царь
regină|царица
regină mamă|царица-мать
prinț|князь
prinț moștenitor|наследник престола
prințesă moștenitoare|царевна
vameș|мытарь
fariseu|фарисей
saducheu|саддукей
scrib|писец
învățător|учитель
învățător de lege|учитель закона
ucenic|ученик
apostol|апостол
martir|мученик
diacon|диакон
episcop|епископ
presbiter|пресвитер
păstor|пастыр
păstor de oi|пастух овец
păstor de capre|пастух коз
văcar|пастух коров
plugar|пахарь
viticultor|виноградар
pescar|рыбак
meșter|мастер
dulgher|плотник
pietrar|каменщик
țesător|ткач
vânzător|продавец
negustor|купец
cârmuitor|правитель
satrap|сатрап
guvernator|наместник
centurion|сотник
sutaș|сотник
milițar de mie|тысячник
ostăș|воин
arcaș|лучник
scutier|щитоносец
călăreț|всадник
șofer de care|колесничий
slujitor|слуга
slujitoare|служанка
roabă|рабыня
rob|раб
stăpân|хозяин
doamnă|госпожа
fiu|сын
fiică|дочь
mire|жених
mireasă|невеста
văduvă|вдова
orfelin|сирота
străin|чужеземец
pelerin|паломник
călător|путешественник
mesager|вестник
sol|посол
eunuc|евнух
paharnic|виночерпий
bucătar|повар
cântăreț|певец
dansator|танцор
muzician|музыкант
clopotar|звонар
grădinar|садовник
vânător|охотник
pădurar|лесничий
fierar|кузнец
topitor|литейщик
țesător de în|льняной ткач
țesător de lână|шерстяной ткач
vopsitor|красильщик
doctor|врач
vraci|знахарь
femeie la fântână|женщина у колодца
bărbat la poartă|муж у ворот
copil în templu|ребёнок в храме
bătrân în poartă|старец у ворот
păzitor de poartă|привратник
păzitor de turmă|сторож стада
străjer|страж
soldat de gardă|часовой
căpitan de oaste|военачальник
consilier|советник
slujitor de cupă|виночерпий
ospătar|официант
meșter de arme|оружейник
dulgher de corabii|корабельный плотник
negustor de vin|виноторговец
negustor de mirodenii|торговец пряностями
vânzător de pește|рыботорговец
vânzător de pâine|хлеботорговец
dascăl de sinagogă|синагогальный учитель
dascăl de copii|учитель детей
bătrân de cetate|старейшина города
bătrân de seminție|старейшина колена
judecător de țară|земной судья
judecător de oaste|военный судья
căpitan de corabie|капитан корабля
căpitan de port|начальник порта
îngrijitor de vită|смотритель скота
îngrijitor de stupi|пчеловод
culegător de struguri|сборщик винограда
culegător de spice|колосник
muncitor de ogoare|полевой работник
muncitor de vie|виноградарь
muncitor de moară|мельник
muncitor de fân|сенокосец
paznic de noapte|ночной страж
paznic de zi|дневной страж
străjer de poartă|привратник
străjer de zid|страж стены
călăreț de mesaj|грунтовой гонец
sol de pace|мирный посол
sol de război|военный посол
scrib de palat|дворцовый писец
femeie de slujire|служащая женщина
bărbat de război|воин
tânăr de cetate|юноша города
fecioară de templu|храмовая дева
văduvă săracă|бедная вдова
văduv bogat|богатый вдовец
orfelin de uliță|уличный сирота
străin trecător|прохожий чужеземец
pelerin de sărbătoare|праздничный паломник
călător de noapte|ночной путник
mesager de grabă|срочный вестник
doctor de oaste|военный врач
vraci de sat|деревенский знахарь
arhitect de templu|храмовый архитектор
cântăreț de psalmi|псалмопевец
dansator de sărbătoare|праздничный танцор
muzician de curte|придворный музыкант
nazirit|назорей
nazireu|назорей
levit de poartă|левит у ворот
preot de familie|семейный священник
preot de seminție|священник колена
mare-preot Ana|первосвященник Анна
mare-preot Caiafa|первосвященник Каифа
preot Sadoc|священник Садок
preot Abiatar|священник Авиафар
preot Melhisedec|священник Мелхиседек
prooroc Samuel|пророк Самуил
prooroc Natan|пророк Нафан
prooroc Gad|пророк Гад
prooroc Ilie|пророк Илия
prooroc Elisei|пророк Елисей
prooroc Isaia|пророк Исаия
prooroc Ieremia|пророк Иеремия
prooroc Daniel|пророк Даниил
prooroc Osea|пророк Осия
prooroc Ioil|пророк Иоиль
prooroc Amos|пророк Амос
prooroc Mica|пророк Михей
prooroc Agheu|пророк Аггей
prooroc Zaharia|пророк Захария
prooroc Maleahi|пророк Малахия
prooroc Ioan|пророк Иоанн
prooroc din Betel|пророк из Вефиля
prooroc din Iuda|пророк из Иудеи
mincinos din Samaria|лжепророк из Самарии
împărat David|царь Давид
împărat Solomon|царь Соломон
împărat Saul|царь Саул
împărat Iosia|царь Иосия
împărat Ezechia|царь Езекия
împărat Manase|царь Манассия
împărat Iosafat|царь Иосафат
împărat Ahab|царь Ахав
împărat Ioram|царь Иорам
împărat Iehu|царь Иегу
împărat Ozia|царь Озия
împărat Iotam|царь Иофам
împărat Ahaz|царь Ахаз
regină Iesebel|царица Иезавель
regină Atalia|царица Аталия
regină Estera|царица Есфирь
împărat Nebucadnețar|царь Навуходоносор
împărat Belșațar|царь Валтасар
împărat Cir|царь Кир
împărat Darius|царь Дарий
împărat Artaxerxe|царь Артаксеркс
împărat Faraon|царь фараон
împărat Irod|царь Ирод
împărat Agripa|царь Агриппа
proconsul|проконсул
proconsul Sergiu|проконсул Сервий
dregător|правитель
dregător de sinagogă|начальник синагоги
căpetenie de mie|тысячник
căpetenie de oaste|военачальник
căpetenie filisteană|филистимский вождь
căpetenie amalecită|амаликитский вождь
căpetenie madianită|мадианитский вождь
judecător Otniel|судья Офниил
judecător Ehud|судья Аод
judecător Barac|судья Варак
judecător Ghedeon|судья Гедеон
judecător Iefta|судья Иеффай
judecător Samson|судья Самсон
judecător Samuel|судья Самуил
slujitorul lui Moise|слуга Моисея
slujitorul lui Ilie|слуга Илии
slujitorul lui Elisei|слуга Елисея
slujitorul lui Avraam|слуга Авраама
slujitoarea lui Sara|служанка Сарры
