# sunday — cuvinte simple pentru Școala Duminicală (Cornilescu / NTR); RU — sinodală
Adam|Адам
Eva|Ева
Noe|Ной
Moise|Моисей
David|Давид
Iona|Иона
Isus|Иисус
Maria|Мария
Ioan|Иоанн
Petru|Пётр
Pavel|Павел
Iosif|Иосиф
Rut|Руфь
Daniel|Даниил
Ierusalim|Иерусалим
Betleem|Вифлеем
Nazaret|Назарет
Iordan|Иордан
Sinai|Синай
Eden|Едем
Egipt|Египет
leu|лев
oaie|овца
miel|агнец
porumbel|голубь
corb|ворон
pește|рыба
șarpe|змей
măgar|осёл
cămilă|верблюд
lăcustă|саранча
corabie|корабль
cruce|крест
lampă|лампа
chivot|ковчег
toiag|посох
pâine|хлеб
apă|вода
miere|мёд
vin|вино
dragoste|любовь
pace|мир
credință|вера
rugăciune|молитва
bucurie|радость
nădejde|надежда
iertare|прощение
botez|крещение
laudă|хвала
templu|храм
cer|небо
stea|звезда
înger|ангел
jertfă|жертва
mântuire|спасение
Ghedeon|Гедеон
Samson|Самсон
Iosua|Иисус Навин
Estera|Есфирь
Lazăr|Лазарь
Marta|Марфа
Zaceu|Закхей
Bartimeu|Вартимей
Andrei|Андрей
Iacov|Иаков
Toma|Фома
Hana|Анна
Eli|Илий
Naomi|Ноеминь
Boaz|Вооз
Rebeca|Ревекка
Sara|Сарра
Avraam|Авраам
Rahela|Рахиль
Beniamin|Вениамин
Aaron|Аарон
Dalila|Далила
Goliat|Голиаф
Betania|Вифания
Ghetsimani|Гефсимания
Golgota|Голгофа
Capernaum|Капернаум
Canaan|Ханаан
Galileea|Галилея
Samaria|Самария
rai|рай
pământ|земля
lumină|свет
potop|потоп
curcubeu|радуга
slavă|слава
putere|сила
suflet|душа
duh|дух
moarte|смерть
viață|жизнь
minune|чудо
milă|милость
har|благодать
lege|закон
taină|тайна
altar|жертвенник
tron|трон
sabie|меч
scut|щит
coroană|корона
sare|соль
lapte|молоко
smochine|инжир
struguri|виноград
mană|манна
lup|волк
vultur|орёл
vrabie|воробей
urs|медведь
vulpe|лисица
cerb|олень
furnică|муравей
vierme|червь
broască|лягушка
